id,source,target,relation,sourceName,targetName,sourceType,targetType,confidence,evidence,patternName,sourceFile,sectionTitle,domain,method
edge:55:JVM:Java 堆:is_a:JVM,JVM:Java 堆,JVM:JVM,is_a,Java 堆,JVM,内存区域实体,领域实体,0.79,"Java堆(Heap)是Java虚拟机(JVM)中内存管理的一个重要区域,主要用于存放对象实例和数组",上下位关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+evidence_weighted_relation_voting
edge:56:JVM:Java 堆:is_a:Java 虚拟机,JVM:Java 堆,JVM:Java 虚拟机,is_a,Java 堆,Java 虚拟机,内存区域实体,领域实体,0.838,"Java堆(Heap)是Java虚拟机(JVM)中内存管理的一个重要区域,主要用于存放对象实例和数组",上下位关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:57:JVM:Java 堆:is_a:使用,JVM:Java 堆,JVM:使用,is_a,Java 堆,使用,内存区域实体,类加载过程实体,0.856,"元空间并不在Java堆中,而是使用本地内存,这解决了永久代容易出现的内存溢出问题",上下位关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:58:JVM:Java 堆:is_a:内存溢出,JVM:Java 堆,JVM:内存溢出,is_a,Java 堆,内存溢出,内存区域实体,领域实体,0.742,"元空间并不在Java堆中,而是使用本地内存,这解决了永久代容易出现的内存溢出问题",上下位关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:59:JVM:Java 堆:is_a:本地内存,JVM:Java 堆,JVM:本地内存,is_a,Java 堆,本地内存,内存区域实体,内存区域实体,0.824,"元空间并不在Java堆中,而是使用本地内存,这解决了永久代容易出现的内存溢出问题",上下位关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:60:JVM:Java 堆:is_a:线程共享,JVM:Java 堆,JVM:线程共享,is_a,Java 堆,线程共享,内存区域实体,线程与私有性相关实体,0.754,"Java 堆:是 JVM 中最大的一块内存区域,被所有线程共享,在虚拟机启动时创建,用于存放对象实例",上下位关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+evidence_weighted_relation_voting
edge:63:JVM:Java 虚拟机:is_a:VerifyError,JVM:Java 虚拟机,JVM:VerifyError,is_a,Java 虚拟机,VerifyError,领域实体,异常与错误实体,0.808,"验证(Verification),这是虚拟机安全的重要保障,JVM 需要核验字节信息是符合 Java 虚拟机规范的,否则就被认为是 VerifyError,这样就防止了恶意信息或者不合规的信息危害 JVM 的运行,验证阶段有可能触发更多 class 的加载",上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:78:JVM:Major GC:is_a:gc,JVM:Major GC,JVM:gc,is_a,Major GC,gc,垃圾回收核心概念实体,领域实体,0.656,"根据其作用范围和触发条件的不同,可以将GC分为三种类型:Minor GC(也称为Young GC)、Major GC(有时也称为Old GC)、以及Full GC",上位包含关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:81:JVM:Minor GC:is_a:gc,JVM:Minor GC,JVM:gc,is_a,Minor GC,gc,垃圾回收核心概念实体,领域实体,0.788,"根据其作用范围和触发条件的不同,可以将GC分为三种类型:Minor GC(也称为Young GC)、Major GC(有时也称为Old GC)、以及Full GC",上位包含关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:82:JVM:NIO:is_a:堆外内存,JVM:NIO,JVM:堆外内存,is_a,NIO,堆外内存,工具与排查实体,内存区域实体,0.832,"直接内存:不属于 JVM 运行时数据区的一部分,通过 NIO 类引入,是一种堆外内存,可以显著提高 I/O 性能",上下位关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:84:JVM:OutOfMemoryError:is_a:堆内存溢,JVM:OutOfMemoryError,JVM:堆内存溢,is_a,OutOfMemoryError,堆内存溢,异常与错误实体,内存区域实体,0.748,"堆内存溢出:当出现Java.lang.OutOfMemoryError:Java heap space异常时,就是堆内存溢出了",上下位关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+evidence_weighted_relation_voting
edge:85:JVM:ParNew:is_a:G1,JVM:ParNew,JVM:G1,is_a,ParNew,G1,垃圾回收器实体,垃圾回收器实体,0.758,标记-复制算法应用在CMS新生代(ParNew是CMS默认的新生代垃圾回收器)和G1垃圾回收器中,上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:86:JVM:ParNew:is_a:Serial,JVM:ParNew,JVM:Serial,is_a,ParNew,Serial,垃圾回收器实体,垃圾回收器实体,0.71,"ParNew收集器(复制算法):新生代收并行集器,实际上是Serial收集器的多线程版本,在多核CPU环境下有着比Serial更好的表现",上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:87:JVM:ParNew:is_a:垃圾回收,JVM:ParNew,JVM:垃圾回收,is_a,ParNew,垃圾回收,垃圾回收器实体,领域实体,0.82,标记-复制算法应用在CMS新生代(ParNew是CMS默认的新生代垃圾回收器)和G1垃圾回收器中,上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:88:JVM:ParNew:is_a:新生代,JVM:ParNew,JVM:新生代,is_a,ParNew,新生代,垃圾回收器实体,堆结构实体,0.838,标记-复制算法应用在CMS新生代(ParNew是CMS默认的新生代垃圾回收器)和G1垃圾回收器中,上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:89:JVM:ParNew:is_a:线程,JVM:ParNew,JVM:线程,is_a,ParNew,线程,垃圾回收器实体,线程与私有性相关实体,0.68,"ParNew收集器(复制算法):新生代收并行集器,实际上是Serial收集器的多线程版本,在多核CPU环境下有着比Serial更好的表现",上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:90:JVM:Serial:is_a:线程,JVM:Serial,JVM:线程,is_a,Serial,线程,垃圾回收器实体,线程与私有性相关实体,0.844,"Serial GC 是单线程回收,简单但效率低,适合小内存应用",上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:91:JVM:StackOverFlowError:is_a:JVM,JVM:StackOverFlowError,JVM:JVM,is_a,StackOverFlowError,JVM,异常与错误实体,领域实体,0.862,"栈溢出(java.lang.StackOverflowError)是 JVM 中另一种常见的内存错误,和堆溢出的原理与场景截然不同",上下位关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:92:JVM:StackOverFlowError:is_a:堆溢出,JVM:StackOverFlowError,JVM:堆溢出,is_a,StackOverFlowError,堆溢出,异常与错误实体,内存区域实体,0.76,"栈溢出(java.lang.StackOverflowError)是 JVM 中另一种常见的内存错误,和堆溢出的原理与场景截然不同",上下位关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:93:JVM:String:is_a:Extension ClassLoader,JVM:String,JVM:Extension ClassLoader,is_a,String,Extension ClassLoader,对象与字符串相关实体,类加载器实体,0.85,"具体来说,Java 的类加载器有一套默认的层级结构:最顶层是Bootstrap ClassLoader(启动类加载器,负责加载 JDK 核心类,如java.lang.String),往下是Extension ClassLoader(扩展类加载器,加载 JDK 扩展目录的类),再往下是AppClassLoader(应用类加载器,加载我们自己写的类和第三方 jar 包),我们也可以自定义类加载器,放在最下层",上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:94:JVM:String:is_a:加载,JVM:String,JVM:加载,is_a,String,加载,对象与字符串相关实体,类加载过程实体,0.68,"具体来说,Java 的类加载器有一套默认的层级结构:最顶层是Bootstrap ClassLoader(启动类加载器,负责加载 JDK 核心类,如java.lang.String),往下是Extension ClassLoader(扩展类加载器,加载 JDK 扩展目录的类),再往下是AppClassLoader(应用类加载器,加载我们自己写的类和第三方 jar 包),我们也可以自定义类加载器,放在最下层",上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:95:JVM:String:is_a:扩展类加载器,JVM:String,JVM:扩展类加载器,is_a,String,扩展类加载器,对象与字符串相关实体,领域实体,0.718,"具体来说,Java 的类加载器有一套默认的层级结构:最顶层是Bootstrap ClassLoader(启动类加载器,负责加载 JDK 核心类,如java.lang.String),往下是Extension ClassLoader(扩展类加载器,加载 JDK 扩展目录的类),再往下是AppClassLoader(应用类加载器,加载我们自己写的类和第三方 jar 包),我们也可以自定义类加载器,放在最下层",上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:96:JVM:Survivor 区:is_a:新生代,JVM:Survivor 区,JVM:新生代,is_a,Survivor 区,新生代,堆结构实体,堆结构实体,0.726,"从内存回收角度,堆被划分为新生代和老年代,新生代又分为 Eden 区和两个 Survivor 区(From Survivor 和 To Survivor",上位包含关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:97:JVM:Survivor 区:is_a:老年代,JVM:Survivor 区,JVM:老年代,is_a,Survivor 区,老年代,堆结构实体,堆结构实体,0.702,"从内存回收角度,堆被划分为新生代和老年代,新生代又分为 Eden 区和两个 Survivor 区(From Survivor 和 To Survivor",上位包含关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:99:JVM:ThreadLocal:is_a:线程,JVM:ThreadLocal,JVM:线程,is_a,ThreadLocal,线程,代码与容器实体,线程与私有性相关实体,0.73,"ThreadLocal提供了线程本地变量,它可以保证访问到的变量属于当前线程,每个线程都保存有一个变量副本,每个线程的变量都不同",上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:104:JVM:ThreadLocalMap:is_a:ThreadLocal,JVM:ThreadLocalMap,JVM:ThreadLocal,is_a,ThreadLocalMap,ThreadLocal,代码与容器实体,代码与容器实体,0.812,"ThreadLocal的实现中,每个Thread维护一个ThreadLocalMap映射表,key是ThreadLocal实例本身,value是真正需要存储的Object",上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+evidence_weighted_relation_voting
edge:105:JVM:ThreadLocalMap:is_a:value,JVM:ThreadLocalMap,JVM:value,is_a,ThreadLocalMap,value,代码与容器实体,代码与容器实体,0.716,"ThreadLocal的实现中,每个Thread维护一个ThreadLocalMap映射表,key是ThreadLocal实例本身,value是真正需要存储的Object",上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:108:JVM:To Survivor:is_a:新生代,JVM:To Survivor,JVM:新生代,is_a,To Survivor,新生代,堆结构实体,堆结构实体,0.61,"从内存回收角度,堆被划分为新生代和老年代,新生代又分为 Eden 区和两个 Survivor 区(From Survivor 和 To Survivor",上位包含关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:109:JVM:To Survivor:is_a:老年代,JVM:To Survivor,JVM:老年代,is_a,To Survivor,老年代,堆结构实体,堆结构实体,0.61,"从内存回收角度,堆被划分为新生代和老年代,新生代又分为 Eden 区和两个 Survivor 区(From Survivor 和 To Survivor",上位包含关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:110:JVM:Young GC:is_a:gc,JVM:Young GC,JVM:gc,is_a,Young GC,gc,垃圾回收核心概念实体,领域实体,0.716,"根据其作用范围和触发条件的不同,可以将GC分为三种类型:Minor GC(也称为Young GC)、Major GC(有时也称为Old GC)、以及Full GC",上位包含关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:115:JVM:gc:is_a:使用,JVM:gc,JVM:使用,is_a,gc,使用,领域实体,类加载过程实体,0.748,"Java 的 GC(垃圾回收)简单说就是 「自动识别并回收不再使用的对象,释放内存空间」,避免内存泄漏",上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:116:JVM:gc:is_a:可达性分析,JVM:gc,JVM:可达性分析,is_a,gc,可达性分析,领域实体,垃圾回收核心概念实体,0.766,"总的来说,GC 机制的核心是 「自动管理内存」,通过可达性分析判断垃圾,结合分代思想和不同算法,再由具体的回收器实现,最终目的是在保证程序正常运行的前提下,高效释放内存,减少对用户线程的影响",上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:117:JVM:gc:is_a:线程,JVM:gc,JVM:线程,is_a,gc,线程,领域实体,线程与私有性相关实体,0.862,"Serial GC 是单线程回收,简单但效率低,适合小内存应用",上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:119:JVM:key:is_a:value,JVM:key,JVM:value,is_a,key,value,代码与容器实体,代码与容器实体,0.758,"ThreadLocal的实现中,每个Thread维护一个ThreadLocalMap映射表,key是ThreadLocal实例本身,value是真正需要存储的Object",上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:121:JVM:new 指令:is_a:初始化,JVM:new 指令,JVM:初始化,is_a,new 指令,初始化,对象与字符串相关实体,类加载过程实体,0.784,"首先,我们看到这个代码中有一个new关键字,我们知道new指令是创建一个类的实例对象并完成加载初始化的,因此这个字符串对象是在运行期才能确定的,创建的字符串对象是在堆内存上",上下位关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:122:JVM:new 指令:is_a:加载,JVM:new 指令,JVM:加载,is_a,new 指令,加载,对象与字符串相关实体,类加载过程实体,0.796,"首先,我们看到这个代码中有一个new关键字,我们知道new指令是创建一个类的实例对象并完成加载初始化的,因此这个字符串对象是在运行期才能确定的,创建的字符串对象是在堆内存上",上下位关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:123:JVM:new 指令:is_a:字符串对象,JVM:new 指令,JVM:字符串对象,is_a,new 指令,字符串对象,对象与字符串相关实体,对象与字符串相关实体,0.71,"首先,我们看到这个代码中有一个new关键字,我们知道new指令是创建一个类的实例对象并完成加载初始化的,因此这个字符串对象是在运行期才能确定的,创建的字符串对象是在堆内存上",上下位关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:124:JVM:new 指令:is_a:常量池,JVM:new 指令,JVM:常量池,is_a,new 指令,常量池,对象与字符串相关实体,方法区与元数据相关实体,0.766,"类加载检查:虚拟机遇到一条 new 指令时,首先将去检查这个指令的参数是否能在常量池中定位到一个类的符号引用,并且检查这个符号引用代表的类是否已被加载过、解析和初始化过",上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:125:JVM:new 指令:is_a:符号引用,JVM:new 指令,JVM:符号引用,is_a,new 指令,符号引用,对象与字符串相关实体,方法区与元数据相关实体,0.7,"类加载检查:虚拟机遇到一条 new 指令时,首先将去检查这个指令的参数是否能在常量池中定位到一个类的符号引用,并且检查这个符号引用代表的类是否已被加载过、解析和初始化过",上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:127:JVM:value:is_a:线程,JVM:value,JVM:线程,is_a,value,线程,代码与容器实体,线程与私有性相关实体,0.766,"第二,不要使用ThreadLocal.set(null)的方式清除value,它实际上并没有清除值,而是查找与当前线程关联的Map并将键值对分别设置为当前线程和null",上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:130:JVM:使用:is_a:初始化,JVM:使用,JVM:初始化,is_a,使用,初始化,类加载过程实体,类加载过程实体,0.61,"初始化零值:内存分配完成后,虚拟机需要将分配到的内存空间都初始化为零值(不包括对象头),这一步操作保证了对象的实例字段在 Java 代码中可以不赋初始值就直接使用,程序能访问到这些字段的数据类型所对应的零值",上位包含关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:131:JVM:使用:is_a:加载,JVM:使用,JVM:加载,is_a,使用,加载,类加载过程实体,类加载过程实体,0.788,使用委派模型的目的是避免重复加载 Java 类型,上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:137:JVM:元空间:is_a:JVM,JVM:元空间,JVM:JVM,is_a,元空间,JVM,内存区域实体,领域实体,0.734,"根据 JDK 8 规范,JVM 运行时内存共分为虚拟机栈、堆、元空间、程序计数器、本地方法栈五个部分",上位包含关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:138:JVM:元空间:is_a:使用,JVM:元空间,JVM:使用,is_a,元空间,使用,内存区域实体,类加载过程实体,0.808,"元空间并不在Java堆中,而是使用本地内存,这解决了永久代容易出现的内存溢出问题",上下位关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:139:JVM:元空间:is_a:内存溢出,JVM:元空间,JVM:内存溢出,is_a,元空间,内存溢出,内存区域实体,领域实体,0.694,"元空间并不在Java堆中,而是使用本地内存,这解决了永久代容易出现的内存溢出问题",上下位关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:140:JVM:元空间:is_a:本地内存,JVM:元空间,JVM:本地内存,is_a,元空间,本地内存,内存区域实体,内存区域实体,0.776,"元空间并不在Java堆中,而是使用本地内存,这解决了永久代容易出现的内存溢出问题",上下位关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:143:JVM:内存泄漏:is_a:使用,JVM:内存泄漏,JVM:使用,is_a,内存泄漏,使用,领域实体,类加载过程实体,0.808,"内存泄露:内存泄漏是指程序在运行过程中不再使用的对象仍然被引用,而无法被垃圾收集器回收,从而导致可用内存逐渐减少",上下位关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:144:JVM:内存溢出:is_a:JVM,JVM:内存溢出,JVM:JVM,is_a,内存溢出,JVM,领域实体,领域实体,0.8,"内存溢出:内存溢出是指Java虚拟机(JVM)在申请内存时,无法找到足够的内存,最终引发OutOfMemoryError",上下位关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+evidence_weighted_relation_voting
edge:145:JVM:内存溢出:is_a:Java 虚拟机,JVM:内存溢出,JVM:Java 虚拟机,is_a,内存溢出,Java 虚拟机,领域实体,领域实体,0.848,"内存溢出:内存溢出是指Java虚拟机(JVM)在申请内存时,无法找到足够的内存,最终引发OutOfMemoryError",上下位关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+evidence_weighted_relation_voting
edge:146:JVM:内存溢出:is_a:OutOfMemoryError,JVM:内存溢出,JVM:OutOfMemoryError,is_a,内存溢出,OutOfMemoryError,领域实体,异常与错误实体,0.68,"内存溢出:内存溢出是指Java虚拟机(JVM)在申请内存时,无法找到足够的内存,最终引发OutOfMemoryError",上下位关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:149:JVM:分代回收:is_a:新生代,JVM:分代回收,JVM:新生代,is_a,分代回收,新生代,垃圾回收核心概念实体,堆结构实体,0.802,分代回收算法:分代收集是将内存划分成了新生代和老年代,上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+evidence_weighted_relation_voting
edge:150:JVM:分代回收:is_a:老年代,JVM:分代回收,JVM:老年代,is_a,分代回收,老年代,垃圾回收核心概念实体,堆结构实体,0.778,分代回收算法:分代收集是将内存划分成了新生代和老年代,上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+evidence_weighted_relation_voting
edge:153:JVM:初始化:is_a:JVM,JVM:初始化,JVM:JVM,is_a,初始化,JVM,类加载过程实体,领域实体,0.68,"但这里的“初始化”和下面的显式初始化阶段是有区别的,侧重点在于分配所需要的内存空间,不会去执行更进一步的 JVM 指令",上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:154:JVM:初始化:is_a:字符串对象,JVM:初始化,JVM:字符串对象,is_a,初始化,字符串对象,类加载过程实体,对象与字符串相关实体,0.73,"首先,我们看到这个代码中有一个new关键字,我们知道new指令是创建一个类的实例对象并完成加载初始化的,因此这个字符串对象是在运行期才能确定的,创建的字符串对象是在堆内存上",上下位关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:155:JVM:初始化:is_a:类初始化,JVM:初始化,JVM:类初始化,is_a,初始化,类初始化,类加载过程实体,类加载过程实体,0.636,"最后是初始化阶段(initialization),这一步真正去执行类初始化的代码逻辑,包括静态字段赋值的动作,以及执行类定义中的静态初始化块内的逻辑,编译器在编译阶段就会把这部分逻辑整理好,父类型的初始化逻辑优先于当前类型的逻辑",上位包含关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:156:JVM:初始化:is_a:类加载过程,JVM:初始化,JVM:类加载过程,is_a,初始化,类加载过程,类加载过程实体,领域实体,0.862,"初始化:初始化是整个类加载过程的最后一个阶段,初始化阶段简单来说就是执行类的构造器方法(()),要注意的是这里的构造器方法()并不是开发者写的,而是编译器自动生成的",上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+evidence_weighted_relation_voting
edge:159:JVM:初始标记阶段:is_a:GC Roots,JVM:初始标记阶段,JVM:GC Roots,is_a,初始标记阶段,GC Roots,垃圾回收算法实体,垃圾回收核心概念实体,0.862,"初始标记阶段:初始标记阶段是指从GC Roots出发标记全部直接子节点的过程,该阶段是STW的",上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+evidence_weighted_relation_voting
edge:160:JVM:初始标记阶段:is_a:STW,JVM:初始标记阶段,JVM:STW,is_a,初始标记阶段,STW,垃圾回收算法实体,垃圾回收核心概念实体,0.7,"初始标记阶段:初始标记阶段是指从GC Roots出发标记全部直接子节点的过程,该阶段是STW的",上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:162:JVM:加载:is_a:Class 对象,JVM:加载,JVM:Class 对象,is_a,加载,Class 对象,类加载过程实体,类加载过程实体,0.806,"一个类由哪个类加载器加载,这个信息是存储在Class对象里的",上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:163:JVM:加载:is_a:Extension ClassLoader,JVM:加载,JVM:Extension ClassLoader,is_a,加载,Extension ClassLoader,类加载过程实体,类加载器实体,0.694,"具体来说,Java 的类加载器有一套默认的层级结构:最顶层是Bootstrap ClassLoader(启动类加载器,负责加载 JDK 核心类,如java.lang.String),往下是Extension ClassLoader(扩展类加载器,加载 JDK 扩展目录的类),再往下是AppClassLoader(应用类加载器,加载我们自己写的类和第三方 jar 包),我们也可以自定义类加载器,放在最下层",上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:164:JVM:加载:is_a:启动类加载器,JVM:加载,JVM:启动类加载器,is_a,加载,启动类加载器,类加载过程实体,领域实体,0.862,"扩展类加载器由启动类加载器加载,并且父加载器就是启动类加载器",上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:165:JVM:加载:is_a:字符串对象,JVM:加载,JVM:字符串对象,is_a,加载,字符串对象,类加载过程实体,对象与字符串相关实体,0.712,"首先,我们看到这个代码中有一个new关键字,我们知道new指令是创建一个类的实例对象并完成加载初始化的,因此这个字符串对象是在运行期才能确定的,创建的字符串对象是在堆内存上",上下位关系,JVM.txt,全文,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:166:JVM:加载:is_a:扩展类加载器,JVM:加载,JVM:扩展类加载器,is_a,加载,扩展类加载器,类加载过程实体,领域实体,0.868,系统类加载器的父加载器是扩展类加载器,上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:167:JVM:加载:is_a:类加载,JVM:加载,JVM:类加载,is_a,加载,类加载,类加载过程实体,领域实体,0.79,"这些类加载器之间的关系形成了双亲委派模型,其核心思想是当一个类加载器收到类加载的请求时,首先不会自己去尝试加载这个类,而是把这个请求委派给父类加载器去完成,每一层次的类加载器都是如此,因此所有的加载请求最终都应该传送到顶层的启动类加载器中",上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:168:JVM:加载:is_a:验证,JVM:加载,JVM:验证,is_a,加载,验证,类加载过程实体,类加载过程实体,0.61,"验证:确保class文件中的字节流包含的信息,符合当前虚拟机的要求,保证这个被加载的class类的正确性,不会危害到虚拟机的安全",上位包含关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:169:JVM:加载阶段:is_a:类加载过程,JVM:加载阶段,JVM:类加载过程,is_a,加载阶段,类加载过程,类加载过程实体,领域实体,0.718,"加载阶段是用户参与的阶段,我们可以自定义类加载器,去实现自己的类加载过程",上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:170:JVM:加载阶段:is_a:自定义类加载器,JVM:加载阶段,JVM:自定义类加载器,is_a,加载阶段,自定义类加载器,类加载过程实体,领域实体,0.802,"加载阶段是用户参与的阶段,我们可以自定义类加载器,去实现自己的类加载过程",上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:172:JVM:双亲委派:is_a:加载,JVM:双亲委派,JVM:加载,is_a,双亲委派,加载,领域实体,类加载过程实体,0.712,"Java 中的 “双亲委派” 是类加载机制的核心原则,简单说就是 「一个类加载器要加载类时,先让父加载器去尝试加载,只有父加载器加载不了,自己才会去加载」",上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:173:JVM:双亲委派:is_a:类加载,JVM:双亲委派,JVM:类加载,is_a,双亲委派,类加载,领域实体,领域实体,0.722,"Java 中的 “双亲委派” 是类加载机制的核心原则,简单说就是 「一个类加载器要加载类时,先让父加载器去尝试加载,只有父加载器加载不了,自己才会去加载」",上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:174:JVM:双亲委派:is_a:类加载机制,JVM:双亲委派,JVM:类加载机制,is_a,双亲委派,类加载机制,领域实体,领域实体,0.842,"Java 中的 “双亲委派” 是类加载机制的核心原则,简单说就是 「一个类加载器要加载类时,先让父加载器去尝试加载,只有父加载器加载不了,自己才会去加载」",上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
edge:175:JVM:双亲委派模型:is_a:加载,JVM:双亲委派模型,JVM:加载,is_a,双亲委派模型,加载,领域实体,类加载过程实体,0.718,"再来谈谈双亲委派模型,简单说就是当类加载器(Class-Loader)试图加载某个类型的时候,除非父加载器找不到相应类型,否则尽量将这个任务代理给当前加载器的父加载器去做",上下位关系,JVM.txt,使用ThreadLocal,JVM,relation_taxonomy_normalization+direction_normalization+duplicate_merge
