head,relation,tail,head_type,tail_type,evidence,pattern_name,source_file,confidence,method
构造方法,used_for,对象,面向对象核心实体,面向对象核心实体,构造方法：与类同名，没有返回值，用于初始化对象,用途关系,java.txt,0.738,rule_pattern_sentence_level
接口,is_a,Java,数据类型实体,领域实体,接口：所有方法默认是public abstract（Java 8后可以有默认方法和静态方法），字段默认是public static final,上下位关系,java.txt,0.736,rule_pattern_sentence_level
元注解,used_for,@Target,领域实体,注解实体,元注解（用于注解的注解）：@Retention、@Target、@Documented、@Inherited,用途关系,java.txt,0.734,rule_pattern_sentence_level
implements,implemented_by,接口,关键字与修饰符实体,数据类型实体,接口使用interface关键字，一个类可以实现多个接口（implements）,实现关系,java.txt,0.728,rule_pattern_sentence_level
int,is_a,基本数据类型,数据类型实体,数据类型实体,基本数据类型包括：byte、short、int、long、float、double、char、boolean,上位包含关系,java.txt,0.726,rule_pattern_sentence_level
引用数据类型,has_part,注解,数据类型实体,领域实体,引用数据类型包括：类、接口、数组、枚举、注解,整体部分关系,java.txt,0.726,rule_pattern_sentence_level
标记-清除,is_a,GC,JVM 与内存管理实体,JVM 与内存管理实体,垃圾回收（GC）：主要回收堆内存，算法包括标记-清除、复制、标记-整理、分代收集,上位包含关系,java.txt,0.726,rule_pattern_sentence_level
引用数据类型,has_part,枚举,数据类型实体,数据类型实体,引用数据类型包括：类、接口、数组、枚举、注解,整体部分关系,java.txt,0.724,rule_pattern_sentence_level
抽象方法,is_a,抽象类,抽象类与接口实体,数据类型实体,抽象类：使用abstract修饰，可以包含抽象方法和具体方法，不能实例化,上位包含关系,java.txt,0.722,rule_pattern_sentence_level
Annotation,is_a,解析,注解实体,JVM 与内存管理实体,注解（Annotation）是一种元数据，不直接影响代码逻辑，但可以被工具或框架解析,上下位关系,java.txt,0.718,rule_pattern_sentence_level
String,is_a,对象,数组与字符串实体,面向对象核心实体,String类是不可变的（immutable），任何修改都会产生新对象,上下位关系,java.txt,0.718,rule_pattern_sentence_level
实例,is_a,abstract,面向对象核心实体,关键字与修饰符实体,抽象类：使用abstract修饰，可以包含抽象方法和具体方法，不能实例化,上位包含关系,java.txt,0.716,rule_pattern_sentence_level
Hashtable,implemented_by,Map,集合框架实体,集合框架实体,Map的实现类：HashMap（无序，允许null键值）、Hashtable（线程安全，不允许null）、TreeMap（有序）、LinkedHashMap（保持插入顺序）,实现关系,java.txt,0.714,rule_pattern_sentence_level
finally,is_a,JVM退出,异常处理实体,异常处理实体,finally块通常用于释放资源，无论是否发生异常都会执行（除非JVM退出）,上下位关系,java.txt,0.71,rule_pattern_sentence_level
LinkedHashSet,implemented_by,Set,集合框架实体,集合框架实体,Set的实现类：HashSet（无序，基于HashMap）、LinkedHashSet（有序）、TreeSet（排序，基于红黑树）,实现关系,java.txt,0.708,rule_pattern_sentence_level
标记-清除,is_a,垃圾回收,JVM 与内存管理实体,JVM 与内存管理实体,垃圾回收（GC）：主要回收堆内存，算法包括标记-清除、复制、标记-整理、分代收集,上位包含关系,java.txt,0.708,rule_pattern_sentence_level
继承,extends,父类,面向对象核心实体,数据类型实体,继承使用extends关键字，Java是单继承，一个类只能有一个直接父类,继承关系,java.txt,0.708,rule_pattern_sentence_level
GC,has_part,标记-清除,JVM 与内存管理实体,JVM 与内存管理实体,垃圾回收（GC）：主要回收堆内存，算法包括标记-清除、复制、标记-整理、分代收集,整体部分关系,java.txt,0.706,rule_pattern_sentence_level
Java,is_a,static,领域实体,关键字与修饰符实体,接口：所有方法默认是public abstract（Java 8后可以有默认方法和静态方法），字段默认是public static final,上下位关系,java.txt,0.706,rule_pattern_sentence_level
基本数据类型,has_part,int,数据类型实体,数据类型实体,基本数据类型包括：byte、short、int、long、float、double、char、boolean,整体部分关系,java.txt,0.706,rule_pattern_sentence_level
LinkedList,implemented_by,List,集合框架实体,集合框架实体,List的实现类：ArrayList（数组结构，查询快增删慢）、LinkedList（链表结构，增删快查询慢）、Vector（线程安全，较少用）,实现关系,java.txt,0.702,rule_pattern_sentence_level
long,is_a,基本数据类型,数据类型实体,数据类型实体,基本数据类型包括：byte、short、int、long、float、double、char、boolean,上位包含关系,java.txt,0.702,rule_pattern_sentence_level
抽象类,has_part,抽象方法,数据类型实体,抽象类与接口实体,抽象类：使用abstract修饰，可以包含抽象方法和具体方法，不能实例化,整体部分关系,java.txt,0.702,rule_pattern_sentence_level
静态变量,is_a,变量,变量与成员实体,变量与成员实体,变量分为局部变量、成员变量（实例变量）和静态变量（类变量）,上位包含关系,java.txt,0.702,rule_pattern_sentence_level
Exception,is_a,父类,异常处理实体,数据类型实体,Throwable是顶级父类，下面分为Error（严重错误，不可处理）和Exception（可处理）,上位包含关系,java.txt,0.698,rule_pattern_sentence_level
Throwable,is_a,Exception,异常处理实体,异常处理实体,Throwable是顶级父类，下面分为Error（严重错误，不可处理）和Exception（可处理）,上下位关系,java.txt,0.698,rule_pattern_sentence_level
abstract,is_a,public,关键字与修饰符实体,关键字与修饰符实体,接口：所有方法默认是public abstract（Java 8后可以有默认方法和静态方法），字段默认是public static final,上下位关系,java.txt,0.698,rule_pattern_sentence_level
abstract,has_part,实例,关键字与修饰符实体,面向对象核心实体,抽象类：使用abstract修饰，可以包含抽象方法和具体方法，不能实例化,整体部分关系,java.txt,0.696,rule_pattern_sentence_level
具体方法,is_a,抽象类,抽象类与接口实体,数据类型实体,抽象类：使用abstract修饰，可以包含抽象方法和具体方法，不能实例化,上位包含关系,java.txt,0.692,rule_pattern_sentence_level
类变量,is_a,变量,数据类型实体,变量与成员实体,变量分为局部变量、成员变量（实例变量）和静态变量（类变量）,上位包含关系,java.txt,0.692,rule_pattern_sentence_level
FutureTask,implemented_by,Thread,线程与并发实体,线程与并发实体,创建线程的方式：继承Thread类、实现Runnable接口、实现Callable接口（配合FutureTask）,实现关系,java.txt,0.69,rule_pattern_sentence_level
FutureTask,implemented_by,继承,线程与并发实体,面向对象核心实体,创建线程的方式：继承Thread类、实现Runnable接口、实现Callable接口（配合FutureTask）,实现关系,java.txt,0.69,rule_pattern_sentence_level
finally,used_for,JVM退出,异常处理实体,异常处理实体,finally块通常用于释放资源，无论是否发生异常都会执行（除非JVM退出）,用途关系,java.txt,0.69,rule_pattern_sentence_level
复制,is_a,GC,JVM 与内存管理实体,JVM 与内存管理实体,垃圾回收（GC）：主要回收堆内存，算法包括标记-清除、复制、标记-整理、分代收集,上位包含关系,java.txt,0.69,rule_pattern_sentence_level
线程,implemented_by,Map,线程与并发实体,集合框架实体,Map的实现类：HashMap（无序，允许null键值）、Hashtable（线程安全，不允许null）、TreeMap（有序）、LinkedHashMap（保持插入顺序）,实现关系,java.txt,0.69,rule_pattern_sentence_level
Set,depends_on,LinkedHashSet,集合框架实体,集合框架实体,Set的实现类：HashSet（无序，基于HashMap）、LinkedHashSet（有序）、TreeSet（排序，基于红黑树）,依赖关系,java.txt,0.688,rule_pattern_sentence_level
垃圾回收,has_part,标记-清除,JVM 与内存管理实体,JVM 与内存管理实体,垃圾回收（GC）：主要回收堆内存，算法包括标记-清除、复制、标记-整理、分代收集,整体部分关系,java.txt,0.688,rule_pattern_sentence_level
继承,is_a,父类,面向对象核心实体,数据类型实体,继承使用extends关键字，Java是单继承，一个类只能有一个直接父类,上下位关系,java.txt,0.688,rule_pattern_sentence_level
Class,is_a,实例,面向对象核心实体,面向对象核心实体,类（Class）和对象（Object）的关系：类是对象的模板，对象是类的实例,上下位关系,java.txt,0.686,rule_pattern_sentence_level
元注解,used_for,@Documented,领域实体,注解实体,元注解（用于注解的注解）：@Retention、@Target、@Documented、@Inherited,用途关系,java.txt,0.686,rule_pattern_sentence_level
基本数据类型,has_part,long,数据类型实体,数据类型实体,基本数据类型包括：byte、short、int、long、float、double、char、boolean,整体部分关系,java.txt,0.682,rule_pattern_sentence_level
Java,is_a,final,领域实体,关键字与修饰符实体,接口：所有方法默认是public abstract（Java 8后可以有默认方法和静态方法），字段默认是public static final,上下位关系,java.txt,0.68,rule_pattern_sentence_level
接口,is_a,默认方法,数据类型实体,抽象类与接口实体,接口：所有方法默认是public abstract（Java 8后可以有默认方法和静态方法），字段默认是public static final,上下位关系,java.txt,0.68,rule_pattern_sentence_level
float,is_a,基本数据类型,数据类型实体,数据类型实体,基本数据类型包括：byte、short、int、long、float、double、char、boolean,上位包含关系,java.txt,0.672,rule_pattern_sentence_level
复制,is_a,垃圾回收,JVM 与内存管理实体,JVM 与内存管理实体,垃圾回收（GC）：主要回收堆内存，算法包括标记-清除、复制、标记-整理、分代收集,上位包含关系,java.txt,0.672,rule_pattern_sentence_level
抽象类,has_part,具体方法,数据类型实体,抽象类与接口实体,抽象类：使用abstract修饰，可以包含抽象方法和具体方法，不能实例化,整体部分关系,java.txt,0.672,rule_pattern_sentence_level
标记-整理,is_a,GC,JVM 与内存管理实体,JVM 与内存管理实体,垃圾回收（GC）：主要回收堆内存，算法包括标记-清除、复制、标记-整理、分代收集,上位包含关系,java.txt,0.672,rule_pattern_sentence_level
GC,has_part,复制,JVM 与内存管理实体,JVM 与内存管理实体,垃圾回收（GC）：主要回收堆内存，算法包括标记-清除、复制、标记-整理、分代收集,整体部分关系,java.txt,0.67,rule_pattern_sentence_level
abstract,is_a,static,关键字与修饰符实体,关键字与修饰符实体,接口：所有方法默认是public abstract（Java 8后可以有默认方法和静态方法），字段默认是public static final,上下位关系,java.txt,0.66,rule_pattern_sentence_level
元注解,used_for,@Inherited,领域实体,注解实体,元注解（用于注解的注解）：@Retention、@Target、@Documented、@Inherited,用途关系,java.txt,0.66,rule_pattern_sentence_level
标记-整理,is_a,垃圾回收,JVM 与内存管理实体,JVM 与内存管理实体,垃圾回收（GC）：主要回收堆内存，算法包括标记-清除、复制、标记-整理、分代收集,上位包含关系,java.txt,0.654,rule_pattern_sentence_level
GC,has_part,标记-整理,JVM 与内存管理实体,JVM 与内存管理实体,垃圾回收（GC）：主要回收堆内存，算法包括标记-清除、复制、标记-整理、分代收集,整体部分关系,java.txt,0.652,rule_pattern_sentence_level
HashMap,depends_on,红黑树,集合框架实体,集合框架实体,Set的实现类：HashSet（无序，基于HashMap）、LinkedHashSet（有序）、TreeSet（排序，基于红黑树）,依赖关系,java.txt,0.652,rule_pattern_sentence_level
HashSet,depends_on,TreeSet,集合框架实体,集合框架实体,Set的实现类：HashSet（无序，基于HashMap）、LinkedHashSet（有序）、TreeSet（排序，基于红黑树）,依赖关系,java.txt,0.652,rule_pattern_sentence_level
垃圾回收,has_part,复制,JVM 与内存管理实体,JVM 与内存管理实体,垃圾回收（GC）：主要回收堆内存，算法包括标记-清除、复制、标记-整理、分代收集,整体部分关系,java.txt,0.652,rule_pattern_sentence_level
基本数据类型,has_part,float,数据类型实体,数据类型实体,基本数据类型包括：byte、short、int、long、float、double、char、boolean,整体部分关系,java.txt,0.652,rule_pattern_sentence_level
实例,is_a,抽象类,面向对象核心实体,数据类型实体,抽象类：使用abstract修饰，可以包含抽象方法和具体方法，不能实例化,上位包含关系,java.txt,0.65,rule_pattern_sentence_level
Exception,is_a,Throwable,异常处理实体,异常处理实体,Throwable是顶级父类，下面分为Error（严重错误，不可处理）和Exception（可处理）,上位包含关系,java.txt,0.648,rule_pattern_sentence_level
double,is_a,基本数据类型,数据类型实体,数据类型实体,基本数据类型包括：byte、short、int、long、float、double、char、boolean,上位包含关系,java.txt,0.636,rule_pattern_sentence_level
分代收集,is_a,GC,JVM 与内存管理实体,JVM 与内存管理实体,垃圾回收（GC）：主要回收堆内存，算法包括标记-清除、复制、标记-整理、分代收集,上位包含关系,java.txt,0.636,rule_pattern_sentence_level
垃圾回收,has_part,标记-整理,JVM 与内存管理实体,JVM 与内存管理实体,垃圾回收（GC）：主要回收堆内存，算法包括标记-清除、复制、标记-整理、分代收集,整体部分关系,java.txt,0.634,rule_pattern_sentence_level
抽象类,has_part,实例,数据类型实体,面向对象核心实体,抽象类：使用abstract修饰，可以包含抽象方法和具体方法，不能实例化,整体部分关系,java.txt,0.63,rule_pattern_sentence_level
分代收集,is_a,垃圾回收,JVM 与内存管理实体,JVM 与内存管理实体,垃圾回收（GC）：主要回收堆内存，算法包括标记-清除、复制、标记-整理、分代收集,上位包含关系,java.txt,0.618,rule_pattern_sentence_level
GC,has_part,分代收集,JVM 与内存管理实体,JVM 与内存管理实体,垃圾回收（GC）：主要回收堆内存，算法包括标记-清除、复制、标记-整理、分代收集,整体部分关系,java.txt,0.616,rule_pattern_sentence_level
基本数据类型,has_part,double,数据类型实体,数据类型实体,基本数据类型包括：byte、short、int、long、float、double、char、boolean,整体部分关系,java.txt,0.616,rule_pattern_sentence_level
Unchecked Exception,is_a,Exception,异常处理实体,异常处理实体,Exception分为：Checked Exception（编译时异常，必须处理）和Unchecked Exception（运行时异常，不强制处理）,上位包含关系,java.txt,0.612,rule_pattern_sentence_level
boolean,is_a,基本数据类型,数据类型实体,数据类型实体,基本数据类型包括：byte、short、int、long、float、double、char、boolean,上位包含关系,java.txt,0.61,rule_pattern_sentence_level
char,is_a,基本数据类型,数据类型实体,数据类型实体,基本数据类型包括：byte、short、int、long、float、double、char、boolean,上位包含关系,java.txt,0.61,rule_pattern_sentence_level
垃圾回收,has_part,分代收集,JVM 与内存管理实体,JVM 与内存管理实体,垃圾回收（GC）：主要回收堆内存，算法包括标记-清除、复制、标记-整理、分代收集,整体部分关系,java.txt,0.598,rule_pattern_sentence_level
基本数据类型,has_part,boolean,数据类型实体,数据类型实体,基本数据类型包括：byte、short、int、long、float、double、char、boolean,整体部分关系,java.txt,0.59,rule_pattern_sentence_level
基本数据类型,has_part,char,数据类型实体,数据类型实体,基本数据类型包括：byte、short、int、long、float、double、char、boolean,整体部分关系,java.txt,0.59,rule_pattern_sentence_level
标记阶段,alias_of,GC Roots,垃圾回收算法实体,垃圾回收核心概念实体,标记阶段，即从GC Roots集合开始，标记活跃对象,别名关系,JVM.txt,0.952,rule_pattern_sentence_level
Full GC,alias_of,Major GC,垃圾回收核心概念实体,垃圾回收核心概念实体,老年代中的对象生命周期较长，因此Major GC（也称为Full GC，涉及老年代的垃圾回收）发生的频率相对较低，但其执行时间通常比Minor GC长,别名关系,JVM.txt,0.926,rule_pattern_sentence_level
Minor GC,alias_of,Young GC,垃圾回收核心概念实体,垃圾回收核心概念实体,根据其作用范围和触发条件的不同，可以将GC分为三种类型：Minor GC（也称为Young GC）、Major GC（有时也称为Old GC）、以及Full GC,别名关系,JVM.txt,0.926,rule_pattern_sentence_level
gc,alias_of,Major GC,领域实体,垃圾回收核心概念实体,根据其作用范围和触发条件的不同，可以将GC分为三种类型：Minor GC（也称为Young GC）、Major GC（有时也称为Old GC）、以及Full GC,别名关系,JVM.txt,0.91,rule_pattern_sentence_level
老年代,alias_of,Major GC,堆结构实体,垃圾回收核心概念实体,老年代中的对象生命周期较长，因此Major GC（也称为Full GC，涉及老年代的垃圾回收）发生的频率相对较低，但其执行时间通常比Minor GC长,别名关系,JVM.txt,0.886,rule_pattern_sentence_level
加载,is_a,扩展类加载器,类加载过程实体,领域实体,系统类加载器的父加载器是扩展类加载器,上下位关系,JVM.txt,0.868,rule_pattern_sentence_level
Minor GC,alias_of,Major GC,垃圾回收核心概念实体,垃圾回收核心概念实体,根据其作用范围和触发条件的不同，可以将GC分为三种类型：Minor GC（也称为Young GC）、Major GC（有时也称为Old GC）、以及Full GC,别名关系,JVM.txt,0.866,rule_pattern_sentence_level
StackOverFlowError,is_a,JVM,异常与错误实体,领域实体,栈溢出（java.lang.StackOverflowError）是 JVM 中另一种常见的内存错误，和堆溢出的原理与场景截然不同,上下位关系,JVM.txt,0.862,rule_pattern_sentence_level
gc,is_a,线程,领域实体,线程与私有性相关实体,Serial GC 是单线程回收，简单但效率低，适合小内存应用,上下位关系,JVM.txt,0.862,rule_pattern_sentence_level
初始化,is_a,类加载过程,类加载过程实体,领域实体,初始化：初始化是整个类加载过程的最后一个阶段，初始化阶段简单来说就是执行类的构造器方法（() ），要注意的是这里的构造器方法()并不是开发者写的，而是编译器自动生成的,上下位关系,JVM.txt,0.862,rule_pattern_sentence_level
初始标记阶段,is_a,GC Roots,垃圾回收算法实体,垃圾回收核心概念实体,初始标记阶段：初始标记阶段是指从GC Roots出发标记全部直接子节点的过程，该阶段是STW的,上下位关系,JVM.txt,0.862,rule_pattern_sentence_level
加载,is_a,启动类加载器,类加载过程实体,领域实体,扩展类加载器由启动类加载器加载，并且父加载器就是启动类加载器,上下位关系,JVM.txt,0.862,rule_pattern_sentence_level
垃圾回收,alias_of,Major GC,领域实体,垃圾回收核心概念实体,老年代中的对象生命周期较长，因此Major GC（也称为Full GC，涉及老年代的垃圾回收）发生的频率相对较低，但其执行时间通常比Minor GC长,别名关系,JVM.txt,0.862,rule_pattern_sentence_level
G1,implemented_by,JVM,垃圾回收器实体,领域实体,大对象区（Large Object Space / Humongous Objects）:在某些JVM实现中（如G1垃圾收集器），为大对象分配了专门的区域，称为大对象区或Humongous Objects区域,实现关系,JVM.txt,0.86,rule_pattern_sentence_level
CMS,is_a,使用,垃圾回收器实体,类加载过程实体,CMS收集器是使用“标记-清除”算法进行的垃圾回收，容易产生内存碎片,上下位关系,JVM.txt,0.856,rule_pattern_sentence_level
CMS,is_a,老年代,垃圾回收器实体,堆结构实体,CMS收集器是老年代的收集器，可以配合新生代的Serial和ParNew收集器一起使用,上下位关系,JVM.txt,0.856,rule_pattern_sentence_level
Java 堆,is_a,使用,内存区域实体,类加载过程实体,元空间并不在Java堆中，而是使用本地内存，这解决了永久代容易出现的内存溢出问题,上下位关系,JVM.txt,0.856,rule_pattern_sentence_level
gc,alias_of,Young GC,领域实体,垃圾回收核心概念实体,根据其作用范围和触发条件的不同，可以将GC分为三种类型：Minor GC（也称为Young GC）、Major GC（有时也称为Old GC）、以及Full GC,别名关系,JVM.txt,0.856,rule_pattern_sentence_level
引用计数法,implemented_by,垃圾回收,垃圾回收核心概念实体,领域实体,在Java中，判断对象是否为垃圾（即不再被使用，可以被垃圾回收器回收）主要依据两种主流的垃圾回收算法来实现：引用计数法和可达性分析算法,实现关系,JVM.txt,0.854,rule_pattern_sentence_level
String,is_a,Extension ClassLoader,对象与字符串相关实体,类加载器实体,具体来说，Java 的类加载器有一套默认的层级结构：最顶层是Bootstrap ClassLoader（启动类加载器，负责加载 JDK 核心类，如java.lang.String），往下是Extension ClassLoader（扩展类加载器，加载 JDK 扩展目录的类），再往下是AppClassLoader（应用类加载器，加载我们自己写的类和第三方 jar 包），我们也可以自定义类加载器，放在最下层,上下位关系,JVM.txt,0.85,rule_pattern_sentence_level
并发标记,is_a,GC Roots,垃圾回收算法实体,垃圾回收核心概念实体,并发标记阶段：并发标记阶段是指从GC Roots开始对堆中对象进行可达性分析，找出存活对象,上下位关系,JVM.txt,0.85,rule_pattern_sentence_level
方法区,is_a,类信息,内存区域实体,方法区与元数据相关实体,方法区（Method Area）： 方法区是用于存储类信息、常量、静态变量等数据的区域,上下位关系,JVM.txt,0.85,rule_pattern_sentence_level
直接内存,is_a,JVM,内存区域实体,领域实体,直接内存：不属于 JVM 运行时数据区的一部分，通过 NIO 类引入，是一种堆外内存，可以显著提高 I/O 性能,上下位关系,JVM.txt,0.85,rule_pattern_sentence_level
内存溢出,is_a,Java 虚拟机,领域实体,领域实体,内存溢出：内存溢出是指Java虚拟机（JVM）在申请内存时，无法找到足够的内存，最终引发OutOfMemoryError,上下位关系,JVM.txt,0.848,rule_pattern_sentence_level
Java heap space,is_a,堆内存溢,异常与错误实体,内存区域实体,堆内存溢出：当出现Java.lang.OutOfMemoryError:Java heap space异常时，就是堆内存溢出了,上下位关系,JVM.txt,0.844,rule_pattern_sentence_level
Serial,is_a,线程,垃圾回收器实体,线程与私有性相关实体,Serial GC 是单线程回收，简单但效率低，适合小内存应用,上下位关系,JVM.txt,0.844,rule_pattern_sentence_level
栈溢出,is_a,方法调用,场景与问题实体,栈与栈帧相关实体,总的来说，栈溢出的核心原因是方法调用栈深度超过了栈内存限制，解决时应优先从代码逻辑（尤其是递归）入手，而非单纯调大栈内存,上下位关系,JVM.txt,0.844,rule_pattern_sentence_level
gc,alias_of,JVM,领域实体,领域实体,直接调用System.gc()或Runtime.getRuntime().gc()方法时，虽然不能保证立即执行，但JVM会尝试执行Full GC,别名关系,JVM.txt,0.842,rule_pattern_sentence_level
双亲委派,is_a,类加载机制,领域实体,领域实体,Java 中的 “双亲委派” 是类加载机制的核心原则，简单说就是 「一个类加载器要加载类时，先让父加载器去尝试加载，只有父加载器加载不了，自己才会去加载」,上下位关系,JVM.txt,0.842,rule_pattern_sentence_level
Java 堆,is_a,Java 虚拟机,内存区域实体,领域实体,Java堆（Heap）是Java虚拟机（JVM）中内存管理的一个重要区域，主要用于存放对象实例和数组,上下位关系,JVM.txt,0.838,rule_pattern_sentence_level
ParNew,is_a,新生代,垃圾回收器实体,堆结构实体,标记-复制算法应用在CMS新生代（ParNew是CMS默认的新生代垃圾回收器）和G1垃圾回收器中,上下位关系,JVM.txt,0.838,rule_pattern_sentence_level
解析,is_a,常量池,类加载过程实体,方法区与元数据相关实体,解析：解析阶段是虚拟机将常量池的「符号引用」直接替换为「直接引用」的过程,上下位关系,JVM.txt,0.838,rule_pattern_sentence_level
符号引用,is_a,直接引用,方法区与元数据相关实体,方法区与元数据相关实体,符号引用：存储类和方法的符号引用，是一种直接引用不同于直接引用的引用类型,上下位关系,JVM.txt,0.836,rule_pattern_sentence_level
G1,is_a,Java 堆,垃圾回收器实体,内存区域实体,此外，G1收集器不同于之前的收集器的一个重要特点是：G1回收的范围是整个Java堆(包括新生代，老年代)，而前六种收集器回收的范围仅限于新生代或老年代,上下位关系,JVM.txt,0.832,rule_pattern_sentence_level
G1,is_a,垃圾回收,垃圾回收器实体,领域实体,而G1没有浮动垃圾，G1的筛选回收是多个垃圾回收线程并行gc的，没有浮动垃圾的回收，在执行‘并发清理’步骤时，用户线程也会同时产生一部分可回收对象，但是这部分可回收对象只能在下次执行清理是才会被回收,上下位关系,JVM.txt,0.832,rule_pattern_sentence_level
G1,is_a,老年代,垃圾回收器实体,堆结构实体,G1收集器收集范围是老年代和新生代,上下位关系,JVM.txt,0.832,rule_pattern_sentence_level
NIO,is_a,堆外内存,工具与排查实体,内存区域实体,直接内存：不属于 JVM 运行时数据区的一部分，通过 NIO 类引入，是一种堆外内存，可以显著提高 I/O 性能,上下位关系,JVM.txt,0.832,rule_pattern_sentence_level
新生代,is_a,CMS,堆结构实体,垃圾回收器实体,标记-复制算法应用在CMS新生代（ParNew是CMS默认的新生代垃圾回收器）和G1垃圾回收器中,上下位关系,JVM.txt,0.832,rule_pattern_sentence_level
程序计数器,is_a,线程,内存区域实体,线程与私有性相关实体,程序计数器：可以看作是当前线程所执行的字节码的行号指示器，用于存储当前线程正在执行的 Java 方法的 JVM 指令地址,上下位关系,JVM.txt,0.832,rule_pattern_sentence_level
符号引用,is_a,加载,方法区与元数据相关实体,类加载过程实体,类加载检查：虚拟机遇到一条 new 指令时，首先将去检查这个指令的参数是否能在常量池中定位到一个类的符号引用，并且检查这个符号引用代表的类是否已被加载过、解析和初始化过,上下位关系,JVM.txt,0.832,rule_pattern_sentence_level
常量池缓存,used_for,类加载,方法区与元数据相关实体,领域实体,常量池缓存：用于提升类加载的效率，将常用的常量缓存起来方便使用,用途关系,JVM.txt,0.83,rule_pattern_sentence_level
方法区,used_for,类信息,内存区域实体,方法区与元数据相关实体,方法区（Method Area）： 方法区是用于存储类信息、常量、静态变量等数据的区域,用途关系,JVM.txt,0.83,rule_pattern_sentence_level
线程,is_a,Native 方法,线程与私有性相关实体,线程与私有性相关实体,如果线程执行的是 Native 方法，计数器值为 null,上下位关系,JVM.txt,0.83,rule_pattern_sentence_level
方法区,is_a,常量,内存区域实体,方法区与元数据相关实体,方法区（Method Area）： 方法区是用于存储类信息、常量、静态变量等数据的区域,上下位关系,JVM.txt,0.826,rule_pattern_sentence_level
Java 堆,is_a,本地内存,内存区域实体,内存区域实体,元空间并不在Java堆中，而是使用本地内存，这解决了永久代容易出现的内存溢出问题,上下位关系,JVM.txt,0.824,rule_pattern_sentence_level
ParNew,is_a,垃圾回收,垃圾回收器实体,领域实体,标记-复制算法应用在CMS新生代（ParNew是CMS默认的新生代垃圾回收器）和G1垃圾回收器中,上下位关系,JVM.txt,0.82,rule_pattern_sentence_level
新生代,is_a,Serial,堆结构实体,垃圾回收器实体,ParNew收集器 (复制算法): 新生代收并行集器，实际上是Serial收集器的多线程版本，在多核CPU环境下有着比Serial更好的表现,上下位关系,JVM.txt,0.82,rule_pattern_sentence_level
直接引用,is_a,指针,方法区与元数据相关实体,栈与栈帧相关实体,直接引用可以是直接指向目标的指针、相对偏移量或是一个能间接定位到目标的句柄，直接引用是和虚拟机实现的内存布局相关的,上下位关系,JVM.txt,0.82,rule_pattern_sentence_level
元空间,used_for,类的元数据信息,内存区域实体,方法区与元数据相关实体,元空间（Metaspace）:从Java 8开始，永久代（Permanent Generation）被元空间取代，用于存储类的元数据信息，如类的结构信息（如字段、方法信息等）,用途关系,JVM.txt,0.818,rule_pattern_sentence_level
双亲委派模型,is_a,类加载,领域实体,领域实体,再来谈谈双亲委派模型，简单说就是当类加载器（Class-Loader）试图加载某个类型的时候，除非父加载器找不到相应类型，否则尽量将这个任务代理给当前加载器的父加载器去做,上下位关系,JVM.txt,0.818,rule_pattern_sentence_level
可达性分析,implemented_by,垃圾回收,垃圾回收核心概念实体,领域实体,在Java中，判断对象是否为垃圾（即不再被使用，可以被垃圾回收器回收）主要依据两种主流的垃圾回收算法来实现：引用计数法和可达性分析算法,实现关系,JVM.txt,0.818,rule_pattern_sentence_level
深度递归,causes,栈溢出,场景与问题实体,场景与问题实体,递归调用：深度递归导致栈溢出,因果关系,JVM.txt,0.818,rule_pattern_sentence_level
类加载,is_a,扩展类加载器,领域实体,领域实体,系统类加载器的父加载器是扩展类加载器,上下位关系,JVM.txt,0.818,rule_pattern_sentence_level
堆溢出,is_a,大对象,内存区域实体,对象与字符串相关实体,堆溢出通常是由于创建了太多的大对象或未能及时回收不再使用的对象,上下位关系,JVM.txt,0.814,rule_pattern_sentence_level
浮动垃圾,is_a,垃圾回收,垃圾回收核心概念实体,领域实体,而G1没有浮动垃圾，G1的筛选回收是多个垃圾回收线程并行gc的，没有浮动垃圾的回收，在执行‘并发清理’步骤时，用户线程也会同时产生一部分可回收对象，但是这部分可回收对象只能在下次执行清理是才会被回收,上下位关系,JVM.txt,0.814,rule_pattern_sentence_level
类加载,causes,元空间,领域实体,内存区域实体,出现这个异常的问题的原因是系统的代码非常多或引用的第三方包非常多或者通过动态代码生成类加载等方法，导致元空间的内存占用很大,因果关系,JVM.txt,0.814,rule_pattern_sentence_level
类加载,is_a,加载,领域实体,类加载过程实体,这些类加载器之间的关系形成了双亲委派模型，其核心思想是当一个类加载器收到类加载的请求时，首先不会自己去尝试加载这个类，而是把这个请求委派给父类加载器去完成，每一层次的类加载器都是如此，因此所有的加载请求最终都应该传送到顶层的启动类加载器中,上下位关系,JVM.txt,0.814,rule_pattern_sentence_level
G1,implemented_by,Humongous Objects,垃圾回收器实体,堆结构实体,大对象区（Large Object Space / Humongous Objects）:在某些JVM实现中（如G1垃圾收集器），为大对象分配了专门的区域，称为大对象区或Humongous Objects区域,实现关系,JVM.txt,0.812,rule_pattern_sentence_level
ThreadLocalMap,is_a,ThreadLocal,代码与容器实体,代码与容器实体,ThreadLocal的实现中，每个Thread维护一个ThreadLocalMap映射表，key是ThreadLocal实例本身，value是真正需要存储的Object,上下位关系,JVM.txt,0.812,rule_pattern_sentence_level
